,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,bengkulu,-3.8004,102.2655,77.0,86,86,4.74,ID,1613748412
157,saldanha,-33.0117,17.9442,73.4,49,0,19.57,ZA,1613748412
158,lethem,3.3803,-59.7968,89.85,39,0,13.4,GY,1613748412
159,bossangoa,6.4926,17.4552,94.62,13,100,5.39,CF,1613748412
160,yunyang,33.4474,112.7142,58.32,31,0,6.13,CN,1613748413
161,palimbang,6.2106,124.1894,79.68,70,100,6.04,PH,1613748413
162,neka,36.6508,53.299,46.4,87,40,4.61,IR,1613748413
163,ijui,-28.3878,-53.9147,78.8,65,20,4.61,BR,1613748413
164,san quintin,30.4833,-115.95,56.14,53,0,3.91,MX,1613748413
165,cidreira,-30.1811,-50.2056,79.77,59,0,7.23,BR,1613748413
166,sambava,-14.2667,50.1667,81.68,82,33,9.08,MG,1613748414
167,kieta,-6.2167,155.6333,79.32,78,4,1.43,PG,1613748414
168,fortuna,40.5982,-124.1573,48.99,100,90,4.61,US,1613748414
169,port hawkesbury,45.6169,-61.3485,26.01,63,20,8.05,CA,1613748415
170,yulara,-25.2406,130.9889,82.4,57,21,11.5,AU,1613748415
171,acapulco,16.8634,-99.8901,71.6,73,1,4.61,MX,1613748415
172,sakaiminato,35.55,133.2333,42.8,75,40,18.41,JP,1613748305
173,loubomo,-4.1997,12.6739,80.13,69,100,5.14,CG,1613748415
174,carnarvon,-24.8667,113.6333,77.0,83,8,16.11,AU,1613748415
175,alice springs,-23.7,133.8833,87.01,65,0,1.14,AU,1613748415
176,asau,46.4333,26.4,30.0,49,65,3.04,RO,1613748415
177,isangel,-19.55,169.2667,79.97,81,43,7.07,VU,1613748415
178,syracuse,37.0881,15.2792,61.0,67,0,13.8,IT,1613748224
179,north myrtle beach,33.816,-78.68,39.0,93,90,8.05,US,1613748193
180,beringovskiy,63.05,179.3167,-16.76,89,97,9.84,RU,1613748415
181,kropotkin,45.4375,40.5756,24.01,87,100,9.37,RU,1613748417
182,raxaul,26.9833,84.85,64.96,35,0,6.69,IN,1613748418
183,hay river,60.8156,-115.7999,12.2,73,81,5.75,CA,1613748418
184,general roca,-39.0333,-67.5833,62.6,27,0,11.5,AR,1613748373
